DATA;CLIENTE;ID_OP;ITEM;DESCRICAO_OP;N_PROG;QTD_PROD;QTD_PED;H_INICIO;H_FIM;TOTAL_MIN;NC;COD_PARADA;T_PARADA_MIN;OPERADOR;MAQUINA;AUDIT
18/04/2026;matro;31553;1,4;;125;80;30;07:30;15:35;;;P07;;Clayton;LO-40;CCF13052026_p1
18/04/2026;matro;31553;1,4;;494;141;141;;;;;;;Clayton;LO-40;CCF13052026_p1
18/04/2026;matro;31553;1,4;;94;16;16;;;;;;;Clayton;LO-40;CCF13052026_p1
18/04/2026;matro;32414;1;;110;10;10;;;;;;;Clayton;LO-40;CCF13052026_p1
30/04/2026;vimin;31698;1;;276;19;54;;;;;;;Clayton;LO-40;CCF13052026_p2
30/04/2026;vimin;31699;1;;437;57;;;;;;;;Clayton;LO-40;CCF13052026_p2
12/05/2026;vimin;31468;2;;947;63;;;;;;;;Clayton;LO-40;CCF13052026_p2
13/05/2026;vimin;31486;2;;947;84;;;;;;;;Clayton;LO-40;CCF13052026_p2
